Time,Open,High,Low,Close,Volume
2023-09-01 00:15:00,1648.4,1649.85,1648.24,1649.84,356.7734
2023-09-01 00:30:00,1650.73,1652.43,1650.5,1651.81,295.4342
2023-09-01 00:45:00,1651.38,1653.53,1651.37,1652.34,820.773
2023-09-01 01:00:00,1653.16,1654.53,1652.81,1652.82,1032.3323
2023-09-01 01:15:00,1650.78,1652.41,1650.71,1651.96,971.3088
2023-09-01 01:30:00,1650.66,1651.46,1649.54,1651.13,807.4329
2023-09-01 01:45:00,1650.05,1650.13,1649.65,1650.1,193.1513
2023-09-01 02:00:00,1650.49,1650.49,1649.28,1649.34,202.5391
2023-09-01 02:15:00,1650.62,1650.63,1650.01,1650.02,264.9948
2023-09-01 02:30:00,1650.8,1651.92,1650.25,1651.91,756.0763
2023-09-01 02:45:00,1651.72,1652.88,1651.44,1652.46,323.2563
2023-09-01 03:00:00,1651.0,1651.01,1650.0,1650.03,191.1582
2023-09-01 03:15:00,1649.22,1649.4,1649.21,1649.39,115.1681
2023-09-01 03:30:00,1650.0,1650.04,1650.0,1650.03,128.4164
2023-09-01 03:45:00,1652.22,1652.88,1651.4,1652.02,1114.4794
2023-09-01 04:00:00,1652.65,1653.09,1652.01,1652.2,439.5189
2023-09-01 04:15:00,1653.01,1653.21,1652.28,1652.99,1568.7776
2023-09-01 04:30:00,1651.76,1651.77,1651.37,1651.44,295.075
2023-09-01 04:45:00,1650.93,1651.32,1650.93,1651.31,332.0711
2023-09-01 05:00:00,1650.81,1650.82,1650.3,1650.3,137.6879
2023-09-01 05:15:00,1650.01,1650.15,1649.5,1649.63,230.5014
2023-09-01 05:30:00,1649.66,1649.67,1649.45,1649.56,208.715
2023-09-01 05:45:00,1648.97,1649.16,1648.97,1649.08,320.586
2023-09-01 06:00:00,1648.87,1649.24,1648.44,1648.44,293.6212
2023-09-01 06:15:00,1649.02,1649.71,1649.01,1649.71,464.2245
2023-09-01 06:30:00,1648.68,1648.76,1647.2,1647.44,451.9345
2023-09-01 06:45:00,1645.24,1647.42,1645.24,1647.12,291.7644
2023-09-01 07:00:00,1644.84,1645.56,1644.28,1644.84,696.5516
2023-09-01 07:15:00,1644.67,1645.65,1644.67,1645.64,213.9645
2023-09-01 07:30:00,1643.98,1645.02,1643.98,1644.68,167.3009
2023-09-01 07:45:00,1645.68,1645.68,1644.97,1645.42,469.4902
2023-09-01 08:00:00,1646.45,1646.46,1646.13,1646.26,228.6877
2023-09-01 08:15:00,1647.18,1647.18,1646.67,1646.67,188.0699
2023-09-01 08:30:00,1644.65,1645.36,1644.07,1644.86,484.9322
2023-09-01 08:45:00,1644.82,1645.14,1644.59,1644.7,268.2486
2023-09-01 09:00:00,1644.75,1644.76,1643.72,1644.0,205.4066
2023-09-01 09:15:00,1644.97,1645.99,1644.97,1645.68,354.2069
2023-09-01 09:30:00,1646.04,1646.38,1644.79,1646.38,589.7996
